subbasin,month,mean_delta,std_delta,p10_delta,p90_delta,n_gcm
PRESCOTT AMA,6,4.328872355647711,0.8615508375065805,3.3491346976290224,5.438221971866441,14
LAKE HAVASU,6,4.2844995397554255,0.8190934281668961,3.362678474801875,5.355649630473725,14
AGUA FRIA,6,4.284085745929159,0.8943689338062358,3.1809064651807337,5.439473367219338,14
UPPER HASSAYAMPA,6,4.271070953757873,0.8902024549976085,3.180101759617126,5.40478200868319,14
TONTO CREEK,6,4.273289018065355,0.8967221461575675,3.2220489028335337,5.461257423017519,14
SALT RIVER,6,4.361167011668972,0.9133822561061995,3.4086164339781058,5.536362401558837,14
PARKER,6,4.230811353128838,0.823182825350525,3.3786197986235984,5.3135876694506345,14
BUTLER VALLEY,6,4.253721803587438,0.8550555276790257,3.22422698182516,5.340390238023992,14
MCMULLEN VALLEY,6,4.235469050247393,0.8647949459284716,3.230890757307135,5.338124228987123,14
PHOENIX AMA,6,4.251075972952104,0.8778192647954735,3.259773111336855,5.373102708204693,14
RANEGRAS PLAIN,6,4.215072119559207,0.8559474260685345,3.2483688336315213,5.338376208581056,14
MORENCI,6,4.437878367907424,0.948582669384378,3.585329152824833,5.634169168761237,14
HARQUAHALA INA,6,4.225730381353706,0.8704291055310587,3.2714993435416,5.34069839545579,14
SAFFORD,6,4.268912723228833,0.9445008015566942,3.291656164417457,5.475493464215235,14
LOWER GILA,6,4.114621104811449,0.8781845398077118,3.150150037345863,5.208121845583405,14
BONITA CREEK,6,4.37557109712463,0.9593926303587604,3.4277923335941174,5.603354133319171,14
LOWER SAN PEDRO,6,4.177427577581151,0.9066672466243743,3.1059120855303726,5.319772399045666,14
PINAL AMA,6,4.213247257377234,0.8911985835861782,3.212705632600501,5.326699933992497,14
DRIPPING SPRING WASH,6,4.151279986831499,0.9017348509633986,3.041585460138082,5.312378806989601,14
GILA BEND,6,4.207720468480191,0.8719785021859731,3.2679527425282577,5.294162426277636,14
DONNELLY WASH,6,4.15571167550358,0.8948186845509051,3.0694926292168523,5.273788134883183,14
DUNCAN VALLEY,6,4.316718154062055,0.9667173111511809,3.36116303615521,5.573857873122756,14
ARAVAIPA CANYON,6,4.164216951821738,0.9110309578969168,3.0863656581633627,5.329060541022617,14
YUMA,6,4.011099476016961,0.8716508293848305,2.974807978017385,5.0628199471502855,14
TUCSON AMA,6,4.1531484648029195,0.9061157113978721,3.070914255721482,5.285872740772626,14
WILLCOX AMA,6,4.194010769420435,0.9291073188816868,3.172902761399373,5.386812776684743,14
SAN SIMON WASH,6,4.105374471979486,0.9106163398779252,3.1157059150372874,5.234367181728679,14
UPPER SAN PEDRO,6,4.151391256464787,0.9173846762687157,3.089214936566565,5.306790803836977,14
WESTERN MEXICAN DRAINAGE,6,3.9897441840328143,0.912467053365306,2.9351603100450108,5.073850269423429,14
CIENEGA CREEK,6,4.1412678913048016,0.9090648879075989,3.0313150369965207,5.280357458555297,14
DOUGLAS AMA,6,4.159439575888588,0.9277692722185852,3.1193893671151347,5.340291082005283,14
SANTA CRUZ AMA,7,3.747321005166747,1.0938314772937767,2.7500949802740142,4.825696137132345,14
SAN BERNARDINO VALLEY,7,3.723311628638005,1.1112581577616323,2.6430385916910084,4.790010508818656,14
SAN RAFAEL,7,3.72121693012182,1.0593485869198507,2.695751168587355,4.775673304839618,14
TIGER WASH,7,3.969789120308561,1.0257132483090412,2.926614322764466,5.251592632537803,14
VIRGIN RIVER,7,4.389181886112963,1.0640149860738821,3.451453096013088,5.932184407987411,14
SHIVWITS PLATEAU,7,4.3508683606937595,1.055027635534499,3.376453283386174,5.842796486578061,14
KANAB PLATEAU,7,4.353268607477562,1.0303331015810526,3.3687860748366814,5.8323059921396485,14
LITTLE COLORADO RIVER PLATEAU,7,4.257118681083648,0.9624184148468528,3.2464068030914457,5.6157576147196355,14
PARIA,7,4.466499457605409,1.0477471322753142,3.502360023761795,5.960168462273569,14
GRAND WASH,7,4.344867520294777,1.0539270586589948,3.388375838635807,5.864621597295002,14
COCONINO PLATEAU,7,4.304083718156806,1.0232957862497376,3.297914926326277,5.724457126475323,14
HUALAPAI VALLEY INA,7,4.249537905948159,1.0453213856686392,3.2613289785045514,5.728515944985896,14
MEADVIEW,7,4.254456462233418,1.0628982042659048,3.2818842355571882,5.723079149970775,14
DETRITAL VALLEY,7,4.267715129535485,1.0433159138852213,3.300138890317184,5.761063773065789,14
LAKE MOHAVE,7,4.303786262456619,1.0397440942284328,3.3026830721543265,5.800190334651872,14
PEACH SPRINGS,7,4.245739488307048,1.0394670943877895,3.2284915720525658,5.701611226831023,14
VERDE RIVER,7,4.152240577925981,1.022165709961021,3.0690752735595686,5.434133316639077,14
BIG SANDY,7,4.156957591348843,1.0277399028752106,3.127207373197911,5.535909921314275,14
SACRAMENTO VALLEY,7,4.154213079924533,1.0210524890905917,3.1311668308200025,5.55026299492242,14
