subbasin,month,mean_delta,std_delta,p10_delta,p90_delta,n_gcm
DUNCAN VALLEY,6,0.012177170151372768,0.24444256874197573,-0.1598174723326482,0.16734837054756863,14
ARAVAIPA CANYON,6,0.01845208267961517,0.2806405551248318,-0.25663170832894167,0.20110631786009822,14
YUMA,6,0.010448821412083056,0.03986596279685701,-0.035200016093615595,0.04927521994523498,14
TUCSON AMA,6,0.05934379627948922,0.24004279511161594,-0.1459764536839258,0.230868431237062,14
WILLCOX AMA,6,0.007068889388744655,0.3433034080021806,-0.30003250581531854,0.23233779321984815,14
SAN SIMON WASH,6,0.03236462484273523,0.12621993575656612,-0.1002274890649934,0.17191354259258051,14
UPPER SAN PEDRO,6,0.02179065542405023,0.3312921464105423,-0.23902018148770895,0.33436929823564643,14
WESTERN MEXICAN DRAINAGE,6,0.009665920876712765,0.04345784915692412,-0.05765439988294154,0.06296917100272473,14
CIENEGA CREEK,6,-0.0017844478439208642,0.32383377546426445,-0.31600113105745675,0.36426536000930887,14
DOUGLAS AMA,6,0.0012751702925855551,0.3778796117571156,-0.35202595301721085,0.3178824173181411,14
SANTA CRUZ AMA,7,-0.21987393837306318,0.8233202953694713,-1.2625700913807578,0.39281837422147425,14
SAN BERNARDINO VALLEY,7,-0.22244342526203306,1.0623258730720724,-1.5529002953662054,0.4514660906359721,14
SAN RAFAEL,7,-0.337229779499311,1.1767237055121236,-1.8995643199784396,0.4913126178393619,14
TIGER WASH,7,0.06346560916034576,0.28576344330705694,-0.2558194275289772,0.4796204211275918,14
VIRGIN RIVER,7,0.054451871770580376,0.2321751368109214,-0.13664490004885158,0.2665251171717216,14
SHIVWITS PLATEAU,7,0.08399752667899861,0.31769853860080594,-0.1853911826786344,0.41765168857814516,14
KANAB PLATEAU,7,0.14217292271026236,0.3526344207791386,-0.20436901055794637,0.4470899076197013,14
LITTLE COLORADO RIVER PLATEAU,7,0.14630207297359107,0.3304688779223528,-0.2770306768213933,0.5676087243858012,14
PARIA,7,0.11296118908543454,0.20681371272642074,-0.05081325684669549,0.3030925289063406,14
GRAND WASH,7,0.07460082853992364,0.25548027888443486,-0.15141407238125718,0.31690849287656675,14
COCONINO PLATEAU,7,0.15071964682105632,0.3573000172053236,-0.18929686923438405,0.6068657701841718,14
HUALAPAI VALLEY INA,7,0.05687352176207662,0.28879536167960446,-0.17072670037844714,0.31506351042734687,14
MEADVIEW,7,0.0575158543720771,0.2582359420288076,-0.14741861126790706,0.2571509428159994,14
DETRITAL VALLEY,7,0.09931634465197145,0.22045559750531704,-0.10648921294061009,0.28341277588582936,14
LAKE MOHAVE,7,0.10182332347224908,0.20878580568078836,-0.06928106189282772,0.2009165263236738,14
PEACH SPRINGS,7,0.04976140631487907,0.3594235027089064,-0.2314579163929878,0.4961389405910772,14
VERDE RIVER,7,-0.05982679922027242,0.5287061648472393,-0.6319711906526274,0.5429214102533302,14
BIG SANDY,7,0.011152698182282594,0.3535174929279519,-0.2772562726090721,0.41159679423326007,14
SACRAMENTO VALLEY,7,0.05226419088203869,0.2397239533758738,-0.13353422551803207,0.21523757703437674,14
JOSEPH CITY INA,7,0.14653601168783822,0.35645059820785685,-0.32781916472324785,0.6078677575837677,14
BILL WILLIAMS,7,-0.021760636298360735,0.2959214447794156,-0.34655265645680233,0.3192520536193091,14
PRESCOTT AMA,7,-0.11229415258400055,0.5265645984252818,-0.6975606378955911,0.5459881423355238,14
LAKE HAVASU,7,0.10299211284350772,0.20326714324271378,-0.03771031001086346,0.25632131943567416,14
AGUA FRIA,7,-0.10017006642604738,0.46687225313112674,-0.5903687676873062,0.5109401388323616,14
UPPER HASSAYAMPA,7,-0.09602284775222804,0.41181015558425066,-0.577592261970771,0.48228091043857124,14
TONTO CREEK,7,-0.2489564000651518,0.6872111282888321,-0.9140067624298163,0.33439646168018466,14
SALT RIVER,7,-0.15175494375874196,0.7791755871989992,-1.1399856208166874,0.6666021786760807,14
PARKER,7,0.08740207152182854,0.1581938597692503,-0.08005421061501279,0.2450839170335105,14
BUTLER VALLEY,7,0.07780186436935566,0.23330107586147253,-0.180236574801583,0.37196631480290293,14
